Theme.Name,Column_Labels.Background.Color,Column_Labels.Font.Weight,Column_Labels.Border.Bottom.Color,Column_Labels.Border.Top.Color,Row_Group.Background.Color,Row_Group.Font.Weight,Row_Group.Border.Top.Color,Row_Group.Border.Bottom.Color,Summary_Row.Background.Color,Summary_Row.Border.Color,Grand_Summary_Row.Background.Color,Grand_Summary_Row.Border.Color,Table.Font.Color,Table.Border.Top.Color,Table.Border.Bottom.Color,Footnotes.Background.Color,Source_Notes.Background.Color,Table_Body.Border.Top.Color,Table_Body.Border.Bottom.Color,Table.Font.Size,Row_Group.Padding,Data_Row.Padding,Container.Overflow.x,Table.Border.Right.Color,Table.Border.Right.Style,Table.Border.Left.Color,Table.Border.Left.Style,Heading.Background.Color,Heading.Border.Bottom.Color,Heading.Text.Color,Row.Striping.Include_Table_Body,Row.Striping.Background_Color
greyscale,#b1b1b1,bold,#000000,#000000,#ececec,bold,#000000,#000000,#ececec,#808080,#ececec,#000000,#000000,#000000,#000000,#ececec,#ececec,#000000,#000000,14,1,1,FALSE,#000000,solid,#000000,solid,#b1b1b1,#000000,#000000,FALSE,#ffffff
greenscale,#6e8b3d,bold,#9bbb59,#9bbb59,#ebf1dd,bold,#000000,#000000,#ebf1dd,#556b2f,#ebf1dd,#556b2f,#000000,#556b2f,#556b2f,#ebf1dd,#ebf1dd,#9bbb59,#6e8b3d,14,1,1,FALSE,#556b2f,solid,#556b2f,solid,#6e8b3d,#556b2f,#ffffff,TRUE,#ebf1dd
